date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:15:36	872/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:36%20GMT	http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/top_wizard_func_wireless_basic.html	(from )
19:15:37	807/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:36%20GMT	http://admin:admin@192.168.0.1/top_wizard_detail_blank_l.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/top_wizard_detail_blank_l.html	(from http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html)
19:15:37	1518/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:37%20GMT	http://admin:admin@192.168.0.1/top_upper.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/top_upper.html	(from http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html)
19:15:38	638/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:37%20GMT	http://admin:admin@192.168.0.1/copyright.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/copyright.html	(from http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html)
19:15:38	11458/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:37%20GMT	http://admin:admin@192.168.0.1/wizard_func_wireless_basic.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/wizard_func_wireless_basic.html	(from http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html)
19:15:38	775/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:37%20GMT	http://admin:admin@192.168.0.1/top_wizard_detail_blank_r.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/top_wizard_detail_blank_r.html	(from http://admin:admin@192.168.0.1/top_wizard_func_wireless_basic.html)
19:15:39	356/-1	---M--	200	added ('Ok')	text/css	date:Wed,%2011%20Jan%202017%2000:15:38%20GMT	http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ad-ENG.css	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/WHR-G300N-160149-style-ad-ENG.css	(from http://admin:admin@192.168.0.1/top_upper.html)
19:15:40	1560/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:39%20GMT	http://admin:admin@192.168.0.1/index.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/index.html	(from http://admin:admin@192.168.0.1/wizard_func_wireless_basic.html)
19:15:40	30310/-1	---M--	200	added ('Ok')	text/css	date:Wed,%2011%20Jan%202017%2000:15:38%20GMT	http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/WHR-G300N-160149-style-ENG.css	(from http://admin:admin@192.168.0.1/top_upper.html)
19:15:40	5793/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:39%20GMT	http://admin:admin@192.168.0.1/wireless_advanced.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/wireless_advanced.html	(from http://admin:admin@192.168.0.1/wizard_func_wireless_basic.html)
19:15:40	391/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:39%20GMT	http://admin:admin@192.168.0.1/images/a-repeat.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/a-repeat.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:40	20368/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:38%20GMT	http://admin:admin@192.168.0.1/common.js	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/common.html	(from http://admin:admin@192.168.0.1/wizard_func_wireless_basic.html)
19:15:40	579/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:40%20GMT	http://admin:admin@192.168.0.1/images/a-r.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/a-r.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:41	186/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:40%20GMT	http://admin:admin@192.168.0.1/images/a-bar1.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/a-bar1.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:41	14710/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:40%20GMT	http://admin:admin@192.168.0.1/images/a-l.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/a-l.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:41	205/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:40%20GMT	http://admin:admin@192.168.0.1/images/a-bar-sub1.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/a-bar-sub1.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:41	273/-1	---M--	200	added ('Ok')	image/gif	date:Wed,%2011%20Jan%202017%2000:15:41%20GMT	http://admin:admin@192.168.0.1/images/y_orange.png	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/images/y_orange.gif	(from http://admin:admin@192.168.0.1/WHR-G300N-160149-style-ENG.css)
19:15:42	7651/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:41%20GMT	http://admin:admin@192.168.0.1/language/es/language.js	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/language/es/language.html	(from http://admin:admin@192.168.0.1/wireless_advanced.html)
19:15:42	13789/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:41%20GMT	http://admin:admin@192.168.0.1/menu.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/menu.html	(from http://admin:admin@192.168.0.1/index.html)
19:15:43	145/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:42%20GMT	http://admin:admin@192.168.0.1/OnceOnly.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/OnceOnly.html	(from http://admin:admin@192.168.0.1/menu.html)
19:15:43	3049/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:43%20GMT	http://admin:admin@192.168.0.1/vpn_pass_through.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/vpn_pass_through.html	(from http://admin:admin@192.168.0.1/menu.html)
19:15:44	0/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:43%20GMT	http://admin:admin@192.168.0.1/help_nat_reg.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/help_nat_reg.html	(from http://admin:admin@192.168.0.1/menu.html)
19:15:44	8178/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:42%20GMT	http://admin:admin@192.168.0.1/help/help_top_setup.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/help/help_top_setup.html	(from http://admin:admin@192.168.0.1/index.html)
19:15:44	2921/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:43%20GMT	http://admin:admin@192.168.0.1/password.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/password.html	(from http://admin:admin@192.168.0.1/menu.html)
19:15:44	0/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:44%20GMT	http://admin:admin@192.168.0.1/help_top_setup.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/help_top_setup.html	(from http://admin:admin@192.168.0.1/menu.html)
19:15:44	0/-1	---M--	200	added ('Ok')	text/html	date:Wed,%2011%20Jan%202017%2000:15:44%20GMT	http://admin:admin@192.168.0.1/help_wan_port.html	C:/Users/chrgue/Desktop/Prueba3/ROUTER%20GEMTEK/192.168.0.1/help_wan_port.html	(from http://admin:admin@192.168.0.1/menu.html)
